Change ID,Target Table Type,Target Schema,Target Table,Target Column,Target Column Data Type,Stage DB Schema,Stage Table,Stage Column,Landing DB Schema,Landing Source Table,Landing Source Column,Source DB Schema,Source Table,Source Column,Source Data Type,Transformation,Comment,Package Name,Source Query,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,ProductSK,BigInt,,,,,,,,,,,,Surrogate key,,"SELECT p.ProductSK, p.Product_id as ProductSK,  p.Name AS ProductName, p.Category, p.boxes_quantity,  p.is_cold, p.shelf_life, p.Description, p.cost_price, p.selling_price, s.supplier_id as SupplierBK, s.Name AS SupplierName, s.email AS SupplierEmail,s.phone AS SupplierPhone, s.Country AS SupplierCountry, p.IsLatest, p.hash_code, p.EndDate, p.DWHEntryDateFROM STG_Products pLEFT JOIN STG_suppliers s ON p.Supplier_id = s.supplier_id;",,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,ProductBK,varchar,OLTP,Products,product_id,OLTP,Products,product_id,OLTP,Products,product_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,ProductName,nvarchar(255),OLTP,Products,name,OLTP,Products,name,OLTP,Products,name,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,Category,nvarchar(50),OLTP,Products,category,OLTP,Products,category,OLTP,Products,category,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,BoxQuantity,int,OLTP,Products,box_quantity,OLTP,Products,box_quantity,OLTP,Products,box_quantity,int,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,IsCold,int,OLTP,Products,is_cold,OLTP,Products,is_cold,OLTP,Products,is_cold,boolean,CAST to int (1/0),,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,ShelfLife,int,OLTP,Products,shelf_life,OLTP,Products,shelf_life,OLTP,Products,shelf_life,int,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,Description,nvarchar(max),OLTP,Products,description,OLTP,Products,description,OLTP,Products,description,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,CostPrice,"Decimal(20,10)",OLTP,Products,cost_price,OLTP,Products,cost_price,OLTP,Products,cost_price,int,"CAST to Decimal(20,10)",Currency,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,SellingPrice,"Decimal(20,10)",OLTP,Products,selling_price,OLTP,Products,selling_price,OLTP,Products,selling_price,int,"CAST to Decimal(20,10)",Currency,,,,,,,,,,,,,,,,,
